language_id,questions,option1,option2,option3,option4,answer
1,By which method is wheat flour separated from wheat bran?,Handpicking,Sieving,Winnowing,Filtration,option2
1,Which of the following acts as a pinhole in the Natural Pinhole Camera?,Leaves acts as pinhole,Gaps between the leaves,Water droplets,None of these,option2
1,Which of the following is not true about pinhole cameras?,Pinhole camera produces an erect image,Pinhole Camera produces a same image as object,Pinhole Camera produces a reversed image,Pinhole Camera produces an inverted image,option1
1,What happens to the image produced by a pinhole camera when you move the back wall farther from the pinhole?,The image becomes larger and fainter,The image becomes smaller and fainter,The image becomes larger and brighter,The image becomes smaller and brighter,option1
1,Rahul observes a candle through three cardboard sheets with holes. What light inference does he make?,Light rays are very thin,Light rays travel in straight lines,The eye can only see a luminous body,A beam of light is made up of a lot of light rays,option2
1,How would the image of the alphabet M look through a pinhole camera?,W,M,V,None of the above,option1
1,Two students sitting across a table see their own and each other's images on the reflective surface. The table top is likely made of:,Unpolished wood,Red stone,Glass sheet,Wood top covered with cloth,option3
1,Select one or more of the following protective equipment to prevent an electrician from getting electrocuted.,Metal body armor,Woollen cap,Rubber gloves,Plastic eyeglasses,option3
1,Rita connected two bulbs across two cells in a simple circuit. What should she do to make the bulbs glow dimmer?,Replace one cell with a piece of chalk,Replace one cell with a piece of wire,Replace one bulb with a piece of wire,Replace one bulb with another cell,option2
1,The student conducted an experiment with circuits. Why was the bulb bright when he closed the switch?,The switch produced an electric current,Closing the switch broke the circuit,Closing the switch completed the circuit,The switch did not make a difference,option3
